Plot,TreeID,Species,Year,DBH,GapYears,PrevDBH,GrowthRate,GrowthType,DBH_cm,Group,Carbon,CO2e,PrevCarbon,CarbonGrowthRate
Upper,1,sugar maple,2015,10.3,,,,initial,26.162000000000003,hardwood,136.67982952173418,501.6149743447645,,
Upper,1,sugar maple,2016,10.2,1.0,10.3,-0.0097087378640778,normal,25.908,hardwood,133.64699758738178,490.4844811456911,136.67982952173418,-0.0221893160458627
Upper,1,sugar maple,2017,10.3,1.0,10.2,0.0098039215686275,normal,26.162000000000003,hardwood,136.67982952173418,501.6149743447645,133.64699758738178,0.0226928549769287
Upper,1,sugar maple,2018,10.5,1.0,10.3,0.0194174757281552,normal,26.67,hardwood,142.8611689815002,524.3004901621058,136.67982952173418,0.0452249573429787
Upper,1,sugar maple,2021,10.67,3.0,10.5,0.0053968253968253,annualized,27.1018,hardwood,148.23712256626746,544.0302398182016,142.8611689815002,0.0125435381848779
Upper,1,sugar maple,2022,10.7,1.0,10.67,0.0028116213683223,normal,27.177999999999997,hardwood,149.19748428997713,547.5547673442161,148.23712256626746,0.0064785507643697
Upper,1,sugar maple,2023,10.69,1.0,10.7,-0.0009345794392523,normal,27.1526,hardwood,148.8769742197109,546.378495386339,149.19748428997713,-0.0021482270414379
Upper,1,sugar maple,2024,10.85,1.0,10.69,0.0149672591206735,normal,27.559,hardwood,154.05195334333777,565.3706687700496,148.8769742197109,0.034760104111128
Upper,1,sugar maple,2025,10.8,1.0,10.85,-0.0046082949308754,normal,27.432,hardwood,152.42403326727535,559.3962020909005,154.05195334333777,-0.0105673445920822
Upper,10,sugar maple,2015,13.5,,,,initial,34.29,hardwood,254.65164099934168,934.571522467584,,
Upper,10,sugar maple,2016,13.7,1.0,13.5,0.0148148148148147,normal,34.798,hardwood,263.41233982397756,966.7232871539976,254.65164099934168,0.0344026796381749
Upper,10,sugar maple,2017,13.85,1.0,13.7,0.010948905109489,normal,35.179,hardwood,270.09297619007316,991.2412226175684,263.41233982397756,0.0253618959937862
Upper,10,sugar maple,2018,14.0,1.0,13.85,0.0108303249097473,normal,35.56,hardwood,276.8683379803203,1016.1068003877756,270.09297619007316,0.0250852942783639
Upper,10,sugar maple,2021,14.24,3.0,14.0,0.0057142857142857,annualized,36.1696,hardwood,287.90671018332614,1056.6176263728069,276.8683379803203,0.0132895564290326
Upper,10,sugar maple,2022,14.5,1.0,14.24,0.0182584269662921,normal,36.83,hardwood,300.14092507413557,1101.5171950220774,287.90671018332614,0.0424936774937243
Upper,10,sugar maple,2023,14.25,1.0,14.5,-0.0172413793103448,normal,36.195,hardwood,288.37194032114536,1058.3250209786036,300.14092507413557,-0.0392115295509375
Upper,10,sugar maple,2024,14.31,1.0,14.25,0.0042105263157895,normal,36.3474,hardwood,291.17224117149783,1068.602125099397,288.37194032114536,0.0097107258328737
Upper,10,sugar maple,2025,14.4,1.0,14.31,0.0062893081761006,normal,36.576,hardwood,295.401396053482,1084.123123516279,291.17224117149783,0.0145245812752227
Upper,100,sugar maple,2015,8.5,,,,initial,21.59,hardwood,87.87034686380746,322.48417299017336,,
Upper,100,sugar maple,2016,8.6,1.0,8.5,0.0117647058823529,normal,21.844,hardwood,90.26621858864443,331.27702222032514,87.87034686380746,0.0272659868812219
Upper,100,sugar maple,2017,8.63,1.0,8.6,0.0034883720930233,normal,21.9202,hardwood,90.99209027129962,333.9409712956696,90.26621858864443,0.0080414544223134
Upper,100,sugar maple,2018,8.75,1.0,8.63,0.0139049826187716,normal,22.225,hardwood,93.9284884687798,344.7175526804219,90.99209027129962,0.0322709170514173
Upper,100,sugar maple,2021,8.9,3.0,8.75,0.0057142857142857,annualized,22.606,hardwood,97.67329231217856,358.46098278569536,93.9284884687798,0.0132895564290326
Upper,100,sugar maple,2022,8.64,1.0,8.9,-0.0292134831460673,normal,21.9456,hardwood,91.23477793541304,334.8316350229659,97.67329231217856,-0.0659188834977228
Upper,100,sugar maple,2023,9.06,1.0,8.64,0.0486111111111111,normal,23.012400000000003,hardwood,101.7591958405674,373.4562487348823,91.23477793541304,0.1153553298787528
Upper,100,sugar maple,2024,9.37,1.0,9.06,0.0342163355408387,normal,23.7998,hardwood,109.94611062043886,403.5022259770106,101.7591958405674,0.0804538077590396
Upper,100,sugar maple,2025,9.0,1.0,9.37,-0.0394877267876199,normal,22.86,hardwood,100.21588898634975,367.7923125799036,109.94611062043886,-0.0884999167244781
Upper,11,sugar maple,2015,15.06,,,,initial,38.2524,hardwood,327.4735643840218,1201.82798128936,,
Upper,11,sugar maple,2016,15.5,1.0,15.06,0.0292164674634793,normal,39.37,hardwood,349.89820731941523,1284.1264208622538,327.4735643840218,0.068477719652193
Upper,11,sugar maple,2017,15.4,1.0,15.5,-0.0064516129032257,normal,39.116,hardwood,344.72792840354595,1265.1514972410137,349.89820731941523,-0.0147765230221641
Upper,11,sugar maple,2018,13.5,1.0,15.4,-0.1233766233766233,normal,34.29,hardwood,254.65164099934168,934.571522467584,344.72792840354595,-0.261296750226628
Upper,11,sugar maple,2021,15.78,3.0,13.5,0.0562962962962962,annualized,40.081199999999995,hardwood,364.6069216832939,1338.1074025776884,254.65164099934168,0.1439290164561665
Upper,11,sugar maple,2022,16.1,1.0,15.78,0.020278833967047,normal,40.894000000000005,hardwood,381.8372789432117,1401.342813721587,364.6069216832939,0.0472573509585879
Upper,11,sugar maple,2023,15.9,1.0,16.1,-0.0124223602484472,normal,40.386,hardwood,371.0156229671586,1361.6273362894722,381.8372789432117,-0.0283410148061067
Upper,11,sugar maple,2024,16.14,1.0,15.9,0.0150943396226415,normal,40.9956,hardwood,384.0227307358268,1409.3634218004845,371.0156229671586,0.0350581133609554
Upper,11,sugar maple,2025,16.15,1.0,16.14,0.000619578686493,normal,41.020999999999994,hardwood,384.57019542697657,1411.372617217004,384.0227307358268,0.0014256049117217
Upper,12,sugar maple,2015,9.8,,,,initial,24.892000000000003,hardwood,121.89861906281644,447.36793196053634,,
Upper,12,sugar maple,2016,10.5,1.0,9.8,0.0714285714285713,normal,26.67,hardwood,142.8611689815002,524.3004901621058,121.89861906281644,0.1719670828090465
Upper,12,sugar maple,2017,10.03,1.0,10.5,-0.0447619047619048,normal,25.4762,hardwood,128.5792705356482,471.8859228658288,142.8611689815002,-0.0999704716661072
Upper,12,sugar maple,2018,10.0,1.0,10.03,-0.0029910269192422,normal,25.4,hardwood,127.69644638473106,468.645958231963,128.5792705356482,-0.0068659912849044
