Plot,TreeID,Species,Year,DBH,GapYears,PrevDBH,GrowthRate,GrowthType
Middle,401,Beech,2024,3.19,,,,initial
Middle,401,Beech,2025,3.2,1.0,3.19,0.0031347962382445864,normal
Middle,416 (was 683),Sugar Maple,2022,2.25,,,,initial
Middle,416 (was 683),Sugar Maple,2023,5.96,1.0,2.25,1.6488888888888888,normal
Middle,416 (was 683),Sugar Maple,2024,2.88,1.0,5.96,-0.5167785234899329,normal
Middle,416 (was 683),Sugar Maple,2025,3.2,1.0,2.88,0.11111111111111122,normal
Middle,417 (was 654),Sugar Maple,2022,6.87,,,,initial
Middle,417 (was 654),Sugar Maple,2023,7.02,1.0,6.87,0.0218340611353711,normal
Middle,417 (was 654),Sugar Maple,2024,7.07,1.0,7.02,0.007122507122507224,normal
Middle,417 (was 654),Sugar Maple,2025,7.3,1.0,7.07,0.03253182461103247,normal
Middle,479,Sugar Maple,2024,5.69,,,,initial
Middle,479,Sugar Maple,2025,5.9,1.0,5.69,0.036906854130052714,normal
Middle,510,Beech,2024,1.5,,,,initial
Middle,510,Beech,2025,1.5,1.0,1.5,0.0,normal
Middle,516 (was 679),Sugar Maple,2022,3.0,,,,initial
Middle,516 (was 679),Sugar Maple,2023,3.0,1.0,3.0,0.0,normal
Middle,516 (was 679),Sugar Maple,2024,3.06,1.0,3.0,0.020000000000000018,normal
Middle,516 (was 679),Sugar Maple,2025,3.2,1.0,3.06,0.04575163398692814,normal
Middle,596,Red Maple,2024,1.44,,,,initial
Middle,596,Red Maple,2025,1.52,1.0,1.44,0.05555555555555561,normal
Middle,601,red oak,2022,21.94,,,,initial
Middle,601,red oak,2023,21.69,1.0,21.94,-0.011394712853236098,normal
Middle,601,red oak,2024,23.75,1.0,21.69,0.09497464269248496,normal
Middle,601,red oak,2025,23.8,1.0,23.75,0.0021052631578947667,normal
Middle,602,sugar maple,2022,0.28,,,,initial
Middle,602,sugar maple,2023,1.48,1.0,0.28,4.285714285714286,normal
Middle,602,sugar maple,2024,2.44,1.0,1.48,0.6486486486486487,normal
Middle,602,sugar maple,2025,2.5,1.0,2.44,0.024590163934426253,normal
Middle,603,sugar maple,2022,6.53,,,,initial
Middle,603,sugar maple,2023,6.84,1.0,6.53,0.047473200612557366,normal
Middle,603,sugar maple,2024,10.63,1.0,6.84,0.5540935672514621,normal
Middle,603,sugar maple,2025,10.67,1.0,10.63,0.003762935089369628,normal
Middle,604,sugar maple,2022,5.69,,,,initial
Middle,604,sugar maple,2023,5.94,1.0,5.69,0.04393673110720562,normal
Middle,604,sugar maple,2024,6.88,1.0,5.94,0.15824915824915817,normal
Middle,604,sugar maple,2025,7.0,1.0,6.88,0.017441860465116296,normal
Middle,605,Red Oak,2022,48.5,,,,initial
Middle,605,Red Oak,2023,48.54,1.0,48.5,0.0008247422680412195,normal
Middle,605,Red Oak,2024,48.6,1.0,48.54,0.0012360939431397256,normal
Middle,605,Red Oak,2025,50.3,1.0,48.6,0.03497942386831267,normal
Middle,606,Sugar maple,2022,2.25,,,,initial
Middle,606,Sugar maple,2023,1.05,1.0,2.25,-0.5333333333333333,normal
Middle,606,Sugar maple,2024,3.18,1.0,1.05,2.0285714285714285,normal
Middle,606,Sugar maple,2025,3.3,1.0,3.18,0.03773584905660367,normal
Middle,607,Sugar maple,2022,0.63,,,,initial
Middle,607,Sugar maple,2023,0.84,1.0,0.63,0.33333333333333326,normal
Middle,607,Sugar maple,2024,1.81,1.0,0.84,1.1547619047619049,normal
Middle,607,Sugar maple,2025,1.8,1.0,1.81,-0.005524861878453044,normal
Middle,608,Sugar maple,2022,2.25,,,,initial
Middle,608,Sugar maple,2023,2.45,1.0,2.25,0.08888888888888896,normal
Middle,608,Sugar maple,2024,3.45,1.0,2.45,0.4081632653061224,normal
Middle,608,Sugar maple,2025,3.47,1.0,3.45,0.005797101449275368,normal
Middle,609,Sugar maple,2022,1.19,,,,initial
Middle,609,Sugar maple,2023,1.23,1.0,1.19,0.033613445378151294,normal
Middle,609,Sugar maple,2024,2.14,1.0,1.23,0.7398373983739839,normal
Middle,609,Sugar maple,2025,2.2,1.0,2.14,0.028037383177570117,normal
Middle,610,Sugar maple,2022,4.0,,,,initial
Middle,610,Sugar maple,2023,3.23,1.0,4.0,-0.1925,normal
Middle,610,Sugar maple,2024,4.0,1.0,3.23,0.23839009287925697,normal
Middle,610,Sugar maple,2025,4.1,1.0,4.0,0.02499999999999991,normal
Middle,611,sugar maple,2022,2.5,,,,initial
Middle,611,sugar maple,2023,1.48,1.0,2.5,-0.40800000000000003,normal
Middle,611,sugar maple,2024,2.33,1.0,1.48,0.5743243243243243,normal
Middle,611,sugar maple,2025,2.5,1.0,2.33,0.0729613733905579,normal
Middle,612,sugar maple,2022,5.63,,,,initial
Middle,612,sugar maple,2023,4.72,1.0,5.63,-0.1616341030195382,normal
Middle,612,sugar maple,2024,5.9,1.0,4.72,0.25000000000000017,normal
Middle,612,sugar maple,2025,6.0,1.0,5.9,0.01694915254237282,normal
Middle,613,mockernut hickory,2022,10.0,,,,initial
Middle,613,mockernut hickory,2023,8.82,1.0,10.0,-0.11799999999999997,normal
Middle,613,mockernut hickory,2024,10.0,1.0,8.82,0.13378684807256233,normal
Middle,613,mockernut hickory,2025,10.0,1.0,10.0,0.0,normal
Middle,614,sugar maple,2022,4.38,,,,initial
Middle,614,sugar maple,2023,4.5,1.0,4.38,0.02739726027397263,normal
Middle,614,sugar maple,2024,4.55,1.0,4.5,0.011111111111111072,normal
Middle,614,sugar maple,2025,5.05,1.0,4.55,0.10989010989010989,normal
Middle,615,mockernut hickory,2022,10.0,,,,initial
Middle,615,mockernut hickory,2023,17.4,1.0,10.0,0.7399999999999999,normal
Middle,615,mockernut hickory,2024,17.65,1.0,17.4,0.014367816091954025,normal
Middle,615,mockernut hickory,2025,17.75,1.0,17.65,0.00566572237960348,normal
Middle,616,sugar maple,2022,5.63,,,,initial
Middle,616,sugar maple,2023,1.8,1.0,5.63,-0.680284191829485,normal
Middle,616,sugar maple,2024,1.75,1.0,1.8,-0.0277777777777778,normal
Middle,616,sugar maple,2025,1.8,1.0,1.75,0.0285714285714286,normal
Middle,617,sugar maple,2022,3.88,,,,initial
Middle,617,sugar maple,2023,3.95,1.0,3.88,0.018041237113402137,normal
Middle,617,sugar maple,2024,3.95,1.0,3.95,0.0,normal
Middle,617,sugar maple,2025,4.0,1.0,3.95,0.01265822784810122,normal
Middle,618,norway maple,2022,1.88,,,,initial
Middle,618,norway maple,2023,2.0,1.0,1.88,0.06382978723404262,normal
Middle,618,norway maple,2024,2.0,1.0,2.0,0.0,normal
Middle,618,norway maple,2025,2.1,1.0,2.0,0.050000000000000044,normal
Middle,619,sugar maple,2022,6.5,,,,initial
Middle,619,sugar maple,2023,6.7,1.0,6.5,0.030769230769230795,normal
Middle,619,sugar maple,2024,6.48,1.0,6.7,-0.03283582089552235,normal
Middle,619,sugar maple,2025,6.7,1.0,6.48,0.033950617283950574,normal
Middle,620,sugar maple,2022,2.38,,,,initial
Middle,620,sugar maple,2023,2.4,1.0,2.38,0.008403361344537823,normal
Middle,620,sugar maple,2024,2.38,1.0,2.4,-0.008333333333333342,normal
Middle,620,sugar maple,2025,2.4,1.0,2.38,0.008403361344537823,normal
Middle,621,mockernut hickory,2022,6.75,,,,initial
Middle,621,mockernut hickory,2023,6.6,1.0,6.75,-0.022222222222222275,normal
Middle,621,mockernut hickory,2024,6.48,1.0,6.6,-0.018181818181818063,normal
Middle,621,mockernut hickory,2025,6.5,1.0,6.48,0.0030864197530863537,normal
Middle,622,Red Oak,2022,17.0,,,,initial
Middle,622,Red Oak,2023,16.7,1.0,17.0,-0.017647058823529453,normal
Middle,622,Red Oak,2024,16.52,1.0,16.7,-0.010778443113772438,normal
Middle,622,Red Oak,2025,16.9,1.0,16.52,0.023002421307505995,normal
Middle,623,Sugar Maple,2022,5.13,,,,initial
Middle,623,Sugar Maple,2023,5.22,1.0,5.13,0.01754385964912278,normal
Middle,623,Sugar Maple,2024,5.3,1.0,5.22,0.015325670498084306,normal
Middle,623,Sugar Maple,2025,5.3,1.0,5.3,0.0,normal
Middle,624,Red Oak,2022,46.53,,,,initial
Middle,624,Red Oak,2023,43.7,1.0,46.53,-0.0608209757145927,normal
Middle,624,Red Oak,2024,51.19,1.0,43.7,0.17139588100686487,normal
Middle,624,Red Oak,2025,51.4,1.0,51.19,0.004102363742918556,normal
Middle,625,Sugar Maple,2022,5.52,,,,initial
Middle,625,Sugar Maple,2023,1.5,1.0,5.52,-0.7282608695652174,normal
