TreeID,Species,Plot,DBH_at_stuck,year_first_stuck
1,sugar maple,Upper,27.432,1
10,sugar maple,Upper,36.576,1
100,sugar maple,Upper,22.86,1
108,black birch,Lower,8.255,1
109,black birch,Lower,6.8326,1
11,sugar maple,Upper,41.020999999999994,1
110,red oak,Lower,65.0494,1
115,black birch,Lower,6.8580000000000005,1
116,white pine,Lower,41.91,1
117,red oak,Lower,75.18400000000001,1
118,black birch,Lower,3.9116,1
119,pignut hickory,Lower,5.3340000000000005,1
12,sugar maple,Upper,26.3144,1
120,mockernut hickory,Lower,10.414,1
121,musclewood,Lower,4.3434,1
122,white pine,Lower,31.496,1
123,black birch,Lower,6.9088,1
125,musclewood,Lower,3.81,1
127,black birch,Lower,14.478000000000002,1
128,black birch,Lower,24.460200000000004,1
129,musclewood,Lower,21.8694,1
13,sugar maple,Upper,37.4396,1
130,musclewood,Lower,23.571199999999997,1
131,musclewood,Lower,17.526,1
132,black birch,Lower,10.668,1
133,black birch,Lower,11.8872,1
135,white pine,Lower,11.938,1
138,shagbark hickory,Lower,43.561,1
14,sugar maple,Upper,41.91,1
140,black birch,Lower,8.9916,1
141,musclewood,Lower,5.7912,1
143,black birch,Lower,5.6896,1
146,dogwood,Lower,2.9463999999999997,1
148,black birch,Lower,8.229600000000001,1
149,black birch,Lower,30.3276,1
15,sugar maple,Upper,17.907,1
150,black birch,Lower,9.0424,1
153,black birch,Lower,5.460999999999999,1
154,black birch,Lower,5.08,1
157,black birch,Lower,6.502400000000001,1
160,red maple,Lower,5.8166,1
161,black birch,Lower,8.89,1
163,musclewood,Lower,7.5692,1
164,black birch,Lower,10.795,1
165,black birch,Lower,9.8552,1
166,black birch,Lower,10.16,1
167,sugar maple,Upper,7.239000000000001,1
168,sugar maple,Upper,6.6293999999999995,1
17,sugar maple,Upper,58.0898,1
171,sugar maple,Upper,15.6972,1
172,sugar maple,Upper,53.848,1
173,sugar maple,Upper,31.75,1
174,sugar maple,Upper,23.368,1
175,sugar maple,Upper,12.7508,1
178,sugar maple,Upper,38.608,1
18,norway maple,Upper,10.668,1
180,red maple,Upper,12.9032,1
181,sugar maple,Upper,45.796200000000006,1
182,sugar maple,Upper,15.621,1
183,sugar maple,Upper,28.447999999999997,1
184,sugar maple,Upper,10.668,1
186,sugar maple,Upper,35.433,1
187,sugar maple,Upper,17.7038,1
188,sugar maple,Upper,50.673,1
189,sugar maple,Upper,28.3464,1
19,sugar maple,Upper,40.132000000000005,1
191,sugar maple,Upper,9.398,1
192,sugar maple,Upper,28.956000000000003,1
