TreeID,Species,Plot,DBH_at_stuck,year_first_stuck
104,sugar maple,Lower,17.272,1
105,sugar maple,Lower,13.988473862308398,20
11,sugar maple,Upper,42.4526067841261,16
113,sugar maple,Lower,14.13562733998256,15
116,white pine,Lower,41.91,1
117,red oak,Lower,75.18400000000001,1
120,mockernut hickory,Lower,14.160334601987534,13
122,white pine,Lower,31.743465205298957,2
126,sugar maple,Lower,17.5514,1
127,black birch,Lower,14.478000000000002,1
128,black birch,Lower,24.460200000000004,1
129,musclewood,Lower,21.8694,1
130,musclewood,Lower,23.571199999999997,1
131,musclewood,Lower,17.526,1
135,white pine,Lower,14.622300985175393,3
138,shagbark hickory,Lower,43.561,1
14,sugar maple,Upper,42.48211599716922,8
144,yellow birch,Lower,14.609416692850933,2
149,black birch,Lower,30.3276,1
151,red oak,Lower,52.20071821096431,9
163,musclewood,Lower,12.634123493053169,18
17,sugar maple,Upper,58.0898,1
18,norway maple,Upper,14.071558178185873,19
180,red maple,Upper,14.07172613509752,10
181,sugar maple,Upper,45.796200000000006,1
188,sugar maple,Upper,50.673,1
198,norway maple,Upper,50.165,1
20,sugar maple,Upper,71.7042,1
23,sugar maple,Upper,42.45046746312599,17
28,sugar maple,Upper,42.418,1
301,black birch,Lower,18.796000000000003,1
302,red oak,Lower,48.53417430922714,3
303,sugar maple,Lower,24.053800000000003,1
305,sugar maple,Lower,14.101225578199756,20
309,sugar maple,Lower,13.972176425505852,14
313,sugar maple,Lower,14.065390515632291,7
314,sugar maple,Lower,25.146,1
317,white pine,Lower,14.601215267066017,3
318,musclewood,Lower,12.638899647586952,18
319,musclewood,Lower,15.24,1
32,sugar maple,Upper,46.292015600114425,3
321,burning bush,Lower,5.8166,1
322,pignut hickory,Lower,7.366,1
334,musclewood,Lower,12.633047197572422,8
335,black oak,Lower,27.970006262387056,19
336,pignut hickory,Lower,8.1788,1
337,musclewood,Lower,12.599899924516071,3
338,musclewood,Lower,49.784000000000006,1
342,black birch,Lower,13.976643218866649,7
343,musclewood,Lower,11.928294870540041,10
344,white ash,Lower,12.546496263679801,8
346,black birch,Lower,38.4556,1
348,musclewood,Lower,12.622915903044614,12
350,musclewood,Lower,15.748,1
354,musclewood,Lower,12.638899647586952,18
364,white pine,Lower,30.226000000000003,1
365,red oak,Lower,73.27132474973695,6
367,black birch,Lower,32.918400000000005,1
368,sugar maple,Lower,14.006467701590516,9
370,black birch,Lower,20.1676,1
371,red oak,Lower,48.012449598334626,7
372,white pine,Lower,16.256,1
373,black oak,Lower,28.02205455379597,2
374,shagbark hickory,Lower,35.1536,1
375,red oak,Lower,73.24102095507887,13
379,sugar maple,Lower,21.362959278449676,2
381,white pine,Lower,18.923,1
384,sugar maple,Lower,26.924,1
385,red oak,Lower,132.84199999999998,1
386,sugar maple,Lower,24.638,1
387,red oak,Lower,47.879000000000005,1
388,sugar maple,Lower,21.082,1
389,red oak,Lower,84.328,1
390,sugar maple,Lower,28.194,1
391,red maple,Lower,18.542,1
392,sugar maple,Lower,14.986,1
395,white pine,Lower,51.562000000000005,1
397,red oak,Lower,89.15400000000001,1
398,white pine,Lower,59.69,1
40,sugar maple,Upper,43.18,1
400,sugar maple,Lower,17.78,1
402,burning bush,Lower,5.9250148266773515,2
409,sugar maple,Lower,13.988473862308398,20
416 (was 683),sugar maple,Middle,14.108671335530312,12
417 (was 654),sugar maple,Middle,18.542,1
430,sugar maple,Lower,13.984759852683569,17
432,burning bush,Lower,13.208,1
44,sugar maple,Upper,46.99,1
459,red maple,Lower,11.684,1
467,musclewood,Lower,12.2174,1
470,sugar maple,Lower,14.066327750027076,16
479,sugar maple,Middle,14.986,1
481,musclewood,Lower,12.638899647586952,18
482,white pine,Lower,19.685,1
483,sugar maple,Lower,15.494,1
486,sugar maple,Lower,18.415,1
488,sugar maple,Lower,14.061194076496953,20
489,black birch,Lower,14.223999999999998,1
