TreeID,Plot,Species,DBH_cm,carbon_at_time,years_ahead
1,Upper,sugar maple,28.291416,163.63154992374803,10
10,Upper,sugar maple,36.35467,291.30623464235344,10
100,Upper,sugar maple,21.694857,88.85499939502127,10
104,Lower,sugar maple,17.928602,57.30837000268037,10
105,Lower,sugar maple,5.538171,3.8441812898437866,10
106,Lower,beech,2.3195858,0.5194039867045747,10
108,Lower,black birch,8.832908,11.248633138607909,10
109,Lower,black birch,7.1688514,6.959776444013145,10
11,Upper,sugar maple,41.08939,386.04644237520574,10
110,Lower,red oak,63.335224,1044.348580540108,10
112,Lower,sugar maple,7.3349233,7.336198701670234,10
113,Lower,sugar maple,8.954104,11.60679247684054,10
115,Lower,black birch,7.1688514,6.959776444013145,10
116,Lower,white pine,42.658802,297.1403610014782,10
117,Lower,red oak,63.335224,1044.348580540108,10
118,Lower,black birch,5.3211513,3.506502500582418,10
119,Lower,pignut hickory,11.988569,22.710473211030735,10
12,Upper,sugar maple,29.22316,176.29246923530528,10
120,Lower,mockernut hickory,7.1559963,6.931105564557755,10
121,Lower,musclewood,5.3166037,3.4996138055534947,10
122,Lower,white pine,33.1254,157.88572094087527,10
123,Lower,black birch,7.1688514,6.959776444013145,10
125,Lower,musclewood,5.346372,3.54484611314713,10
126,Lower,sugar maple,17.928602,57.30837000268037,10
127,Lower,black birch,11.946166,22.526147354844795,10
128,Lower,black birch,24.687895,119.61195751247355,10
129,Lower,musclewood,10.8830595,18.179777838457564,10
13,Upper,sugar maple,38.0199,322.9137428331479,10
130,Lower,musclewood,10.8830595,18.179777838457564,10
131,Lower,musclewood,10.8830595,18.179777838457564,10
132,Lower,black birch,11.164676,19.280013054022607,10
133,Lower,black birch,11.946166,22.526147354844795,10
135,Lower,white pine,15.160266,22.37211570247413,10
138,Lower,shagbark hickory,32.930443,232.02547789824254,10
14,Upper,sugar maple,41.891758,403.60543926032136,10
140,Lower,black birch,9.041255,11.868267193126892,10
141,Lower,musclewood,7.5069714,7.738026433406328,10
143,Lower,black birch,5.7136016,4.13003903853694,10
144,Lower,yellow birch,12.602417,25.474467125210335,10
145,Lower,red oak,57.296406,829.3812944664994,10
146,Lower,dogwood,11.328648,19.937505474178064,10
148,Lower,black birch,8.832908,11.248633138607909,10
149,Lower,black birch,30.51064,194.67010693019498,10
15,Upper,sugar maple,17.921152,57.25361239489275,10
150,Lower,black birch,9.041255,11.868267193126892,10
151,Lower,red oak,49.84102,601.881724416778,10
153,Lower,black birch,5.468489,3.7338441191674963,10
154,Lower,black birch,5.3211513,3.506502500582418,10
157,Lower,black birch,7.1688514,6.959776444013145,10
160,Lower,red maple,11.988569,22.710473211030735,10
161,Lower,black birch,9.041255,11.868267193126892,10
163,Lower,musclewood,7.5069714,7.738026433406328,10
164,Lower,black birch,11.164676,19.280013054022607,10
165,Lower,black birch,10.702323,17.492858528683023,10
166,Lower,black birch,10.702323,17.492858528683023,10
167,Upper,sugar maple,7.230894,7.099092981011195,10
168,Upper,sugar maple,7.463135,7.634493268681601,10
17,Upper,sugar maple,57.198845,826.1367811567872,10
171,Upper,sugar maple,16.753798,49.03676002848374,10
172,Upper,sugar maple,54.65803,744.1584745241441,10
173,Upper,sugar maple,38.470085,331.77564539482347,10
174,Upper,sugar maple,36.35467,291.30623464235344,10
175,Upper,sugar maple,12.833153,26.559995756627412,10
178,Upper,sugar maple,38.470085,331.77564539482347,10
18,Upper,norway maple,10.941164,18.403794658160535,10
180,Upper,red maple,52.372295,674.5202048684324,10
181,Upper,sugar maple,46.752853,519.5411402001912,10
182,Upper,sugar maple,16.753798,49.03676002848374,10
183,Upper,sugar maple,29.22316,176.29246923530528,10
184,Upper,sugar maple,11.874531,22.216677807982553,10
186,Upper,sugar maple,35.76311,280.5190988394326,10
187,Upper,sugar maple,17.738604,55.92113134651732,10
188,Upper,sugar maple,41.891758,403.60543926032136,10
189,Upper,sugar maple,29.22316,176.29246923530528,10
19,Upper,sugar maple,40.330624,369.84659066627836,10
191,Upper,sugar maple,9.23992,12.476653451220434,10
192,Upper,sugar maple,29.22316,176.29246923530528,10
193,Upper,sugar maple,28.291416,163.63154992374803,10
194,Upper,sugar maple,35.76311,280.5190988394326,10
196,Upper,sugar maple,17.851576,56.74366075682946,10
197,Upper,sugar maple,11.874531,22.216677807982553,10
198,Upper,norway maple,41.542873,395.9162131238267,10
199,Upper,sugar maple,7.230894,7.099092981011195,10
2,Upper,sugar maple,36.35467,291.30623464235344,10
20,Upper,sugar maple,71.476295,1379.2212663549249,10
21,Upper,sugar maple,36.35467,291.30623464235344,10
22,Upper,sugar maple,9.23992,12.476653451220434,10
23,Upper,sugar maple,41.891758,403.60543926032136,10
24,Upper,sugar maple,20.074919,74.3301474873784,10
26,Upper,sugar maple,35.76311,280.5190988394326,10
27,Upper,sugar maple,16.766697,49.123640690239796,10
28,Upper,sugar maple,41.891758,403.60543926032136,10
29,Upper,sugar maple,21.336332,85.51390275079409,10
301,Lower,black birch,11.946166,22.526147354844795,10
302,Lower,red oak,45.70392,493.12175952227335,10
303,Lower,sugar maple,20.796589,80.62005854334652,10
304,Lower,red oak,57.296406,829.3812944664994,10
305,Lower,sugar maple,8.15078,9.350166041145302,10
307,Lower,beech,2.3195858,0.5194039867045747,10
309,Lower,sugar maple,7.3349233,7.336198701670234,10
31,Upper,sugar maple,30.161057,189.5781712042082,10
310,Lower,black birch,7.1688514,6.959776444013145,10
313,Lower,sugar maple,9.668368,13.847570813742792,10
314,Lower,sugar maple,20.796589,80.62005854334652,10
317,Lower,white pine,15.160266,22.37211570247413,10
