TREE ID,Tree Species,DBH - 2015,DBH - 2016,DBH - 2017,DBH - 2018,DBH - 2021,DBH - 2022,DBH 2023,DBH - 2024,DBH - 2025
104,Sugar Maple,6.15,6.30,6.30,6.50,6.50,6.70,6.44,6.91,6.80
105,Sugar maple,1.90,1.44,1.56,1.50,1.50,1.50,1.55,1.52,1.50
106,beech,2.10,2.50,2.30,2.30,2.60,2.48,2.70,2.69,1.50
108,black birch ,2.80,2.90,2.90,2.90,3.20,3.16,3.25,3.24,3.25
109,Black Birch ,2.20,2.20,2.30,2.31,2.50,2.60,0.80,2.64,2.69
110,red oak,25.60,26.10,26.63,26.13,27.00,27.25,27.00,27.18,25.61
112,sugar maple,2.63,2.75,2.75,2.75,2.90,3.00,1.50,2.98,3.06
113,sugar maple,3.10,3.13,3.19,3.20,3.40,3.50,3.25,3.63,3.70
115,black birch,2.20,2.06,2.19,2.19,2.40,2.28,2.75,2.59,2.70
116,White Pine ,16.38,15.75,15.46,15.60,16.20,16.45,16.00,16.35,16.50
117,red oak,27.56,27.31,27.70,27.95,28.80,29.00,29.00,28.31,29.60
118,black birch,2.00,1.50,1.50,1.50,1.60,1.56,1.60,1.54,
119,pignut hickory,2.25,2.13,2.13,2.13,2.10,2.40,2.20,2.07,2.10
120,mockernut hickory,3.75,3.88,3.94,4.00,3.90,4.00,4.00,4.04,4.10
121,Musclewood,1.69,1.75,1.69,1.13,1.70,1.48,1.72,1.62,1.71
122,white pine,11.80,11.20,14.30,11.75,11.80,11.80,11.95,12.00,12.40
123,black birch,2.19,2.13,2.20,2.40,2.50,2.32,2.55,2.60,2.72
125,musclewood,1.51,1.70,3.06,2.50,1.50,1.52,1.50,1.50,1.50
126,Sugar maple,6.93,6.69,6.80,6.60,6.90,7.00,6.94,6.88,6.91
127,Black Birch,4.97,5.10,5.13,5.20,5.50,5.63,5.81,6.00,5.70
128,black birch,8.60,9.19,9.58,8.80,9.00,9.12,9.19,9.35,9.63
129,musclewood,4.25,4.13,4.19,4.20,4.20,4.30,4.19,5.22,8.61
130,muscle wood,6.29,6.20,10.69,11.70,11.10,11.00,4.00,9.67,9.28
131,Muscle Wood,4.27,4.25,4.31,6.65,4.30,4.36,4.49,4.33,6.90
132,black birch,3.75,3.56,3.13,3.80,4.00,4.20,4.13,4.16,4.20
133,black birch,4.10,4.13,4.13,4.13,4.44,4.24,4.50,4.60,4.68
135,white pine,4.88,4.70,4.70,4.60,4.70,4.72,4.75,4.69,4.70
138,shagbark hickory,16.50,16.75,16.06,15.90,16.90,16.16,16.50,16.63,17.15
140,black birch,3.20,3.20,3.18,3.30,3.50,3.28,3.44,3.43,3.54
141,Muscle Wood,2.35,2.38,2.30,2.40,2.38,2.44,2.31,2.35,2.28
143,black birch,3.60,1.90,1.93,1.94,2.00,4.00,2.10,2.12,2.24
144,Yellow birch,4.10,4.06,4.06,4.13,4.40,4.50,11.38,5.53,4.55
145,Red oak,21.00,21.44,22.83,21.38,21.70,22.00,22.50,22.75,23.76
146,Dogwood,1.83,2.84,2.70,3.10,3.25,3.30,1.86,3.20,1.16
148,black birch,3.25,3.19,3.30,3.34,3.50,3.60,3.60,3.62,3.24
149,black birch,11.23,11.19,11.30,11.19,11.60,11.80,11.38,11.94,
150,black birch,2.88,2.90,3.00,3.10,3.30,3.40,3.50,3.51,3.56
151,red oak,18.70,18.50,18.90,18.80,29.20,29.16,19.56,19.68,20.00
153,black birch,1.90,1.94,1.94,2.00,2.00,4.50,2.22,2.19,2.15
154,black birch,1.81,1.81,1.80,1.80,1.80,4.50,1.90,1.90,2.00
157,black birch,2.25,2.25,2.31,2.40,2.50,6.25,2.55,2.52,2.56
160,Red maple,2.29,2.25,2.25,2.25,2.20,5.80,2.29,2.23,2.29
161,black birch,3.06,3.10,3.10,3.20,3.20,8.50,3.35,3.50,3.50
163,Muscle Wood,1.88,2.81,6.88,2.90,3.00,3.14,1.50,2.98,2.98
164,black birch,3.30,3.38,3.50,3.50,3.70,3.80,4.00,4.01,4.25
165,black birch,3.25,3.30,3.38,3.40,3.50,3.60,3.70,3.81,3.88
166,black birch,3.06,3.13,3.25,1.35,3.60,3.70,3.75,3.81,4.00
167,Musclewood,,,,,,,,4.50,
301,Black birch,4.30,8.13,5.94,6.60,7.20,5.10,14.90,14.00,7.40
302,red oak,16.00,16.25,16.13,16.35,16.70,16.80,17.00,17.19,17.10
303,sugar maple,8.80,8.94,9.00,9.05,9.40,9.16,9.34,9.55,9.47
304,red oak,20.30,20.19,20.50,20.50,21.00,21.40,21.00,22.08,22.30
305,sugar maple,3.20,3.31,3.11,3.25,3.30,3.16,3.22,3.23,3.15
307,beech ,1.60,1.70,2.00,2.00,3.07,2.40,6.20,2.59,2.40
309,sugar maple,2.60,2.75,2.88,2.90,3.00,1.77,2.11,3.00,3.00
310,black birch,2.57,2.50,2.38,2.70,2.50,1.28,2.46,2.50,2.60
313,Sugar Maple,3.80,3.81,3.75,3.75,3.75,2.63,3.85,3.80,3.80
314,Sugar Maple,3.20,3.50,2.73,3.75,1.80,2.25,2.60,,9.90
317,white pine,9.20,9.19,9.38,9.13,9.70,8.50,9.75,9.80,2.95
318,Musclewood,3.00,2.69,2.88,2.81,3.10,2.90,2.90,3.00,3.00
319,Musclewood,2.63,2.75,3.99,2.70,4.00,4.10,2.92,2.94,6.00
321,Burning Bush,1.75,1.75,5.00,4.20,5.30,2.41,6.36,6.00,2.29
322,Pignut hickory,2.20,1.94,2.05,1.94,2.25,2.30,2.33,2.35,2.90
324,black birch,2.70,1.88,1.94,2.13,2.37,1.38,2.30,2.44,5.00
326,Musclewood,2.50,4.35,2.69,4.80,2.90,2.00,2.30,3.00,1.50
329,Muscle Wood,1.51,1.60,3.10,3.00,1.60,1.56,1.56,1.56,2.37
330,Musclewood ,2.75,2.44,2.48,2.50,2.50,2.50,2.44,2.45,2.28
331,Musclewood ,2.31,2.40,2.20,2.30,6.10,2.30,2.28,2.30,2.00
333,Red Maple ,1.56,1.50,1.56,1.80,1.70,1.90,1.60,1.99,2.90
334,Musclewood ,2.80,2.88,2.80,2.90,2.90,1.59,2.88,2.88,3.49
335,Black Oak,2.10,2.94,3.00,3.10,3.25,3.31,3.44,3.27,7.33
336,Pignut Hickory,7.00,7.30,7.20,7.30,7.10,7.19,7.25,7.19,3.22
337,Musclewood,2.94,3.10,3.10,3.13,3.50,3.19,3.31,3.12,3.81
338,musclewood,3.23,3.30,4.60,4.75,3.60,6.17,3.88,5.31,19.60
340,Red Oak,17.60,17.10,17.80,18.06,18.50,19.38,19.00,19.06,2.43
342,Black Birch,4.72,4.75,4.60,3.80,5.20,1.38,5.38,5.31,5.42
343,musclewood,3.44,3.50,3.40,3.50,3.50,3.32,2.50,3.50,3.51
344,White Ash,2.80,3.31,3.25,3.40,3.50,3.45,3.50,3.50,3.60
346,Black Birch ,9.31,9.30,9.38,9.40,14.50,9.90,4.50,10.12,15.14
347,Norway Maple,3.29,3.30,3.38,3.50,3.80,4.00,4.00,4.12,4.29
348,Musclewood,5.10,3.25,3.20,3.30,3.30,3.25,3.30,3.88,3.30
349,Musclewood,2.40,2.88,2.80,2.80,2.90,2.78,2.83,2.88,2.80
350,Musclewood,3.44,3.44,3.45,3.50,10.60,3.55,2.61,3.50,6.20
351,Musclewood,2.20,2.25,2.25,2.40,2.60,2.30,1.28,2.30,2.25
354,Musclewood,2.60,2.69,2.70,3.80,2.80,3.15,2.97,3.00,3.00
355,Musclewood,6.60,1.75,1.80,1.90,1.90,2.00,1.97,2.00,2.00
362,black birch ,2.44,2.60,2.65,2.70,2.80,2.56,3.00,3.00,3.20
363,black birch,2.38,2.30,2.44,2.50,2.50,2.60,2.55,2.60,2.40
364,White Pine ,10.10,11.06,11.20,11.25,11.60,11.80,11.49,11.76,11.90
365,Red Oak ,24.10,27.94,27.50,27.56,28.10,28.60,28.28,28.81,28.61
367,black birch,11.90,12.10,12.40,12.60,12.80,12.48,13.00,12.79,12.96
368,sugar maple,4.00,4.60,4.25,9.50,5.00,12.50,11.10,4.63,4.70
370,Black Birch,6.63,6.75,6.90,6.90,7.40,7.60,7.59,7.78,7.94
371,red oak,16.70,17.80,16.90,17.00,17.40,54.00,17.25,17.94,18.28
372,white pine,6.50,6.50,6.60,6.40,6.50,6.60,6.35,6.44,6.40
373,black oak,10.40,10.40,10.69,10.60,10.60,10.70,10.68,10.63,10.87
374,Shagbark Hickory,12.70,12.70,12.93,12.38,13.30,13.45,14.00,13.65,13.84
375,Red Oak,25.60,25.70,26.38,28.88,27.17,28.30,27.75,28.00,28.13
376,black birch,3.50,3.56,3.75,3.90,4.30,4.70,3.25,4.63,4.75
378,Red oak,14.10,14.44,14.50,14.30,14.60,14.90,15.05,15.27,15.28
379,sugar maple,7.40,7.80,7.80,7.75,8.00,7.13,8.10,8.49,8.25
380,red oak,26.88,26.20,26.94,27.00,26.68,27.20,27.10,27.69,27.32
381,white pine,7.10,7.10,7.13,7.25,7.06,6.13,7.35,7.40,7.45
383,red oak,20.10,20.50,20.50,20.65,20.90,21.25,21.10,21.67,21.30
384,sugar maple,10.30,10.19,10.19,10.40,9.10,10.60,10.45,10.50,10.60
385,red oak,57.00,48.06,49.20,49.15,50.60,49.00,48.50,51.13,52.30
