TREE ID,Tree Species,DBH 2022,DBH 2023,DBH 2024,DBH 2025
401,Beech,,,3.19,3.20
416 (was 683),Sugar Maple,2.25,5.96,2.88,3.20
417 (was 654),Sugar Maple,6.87,7.02,7.07,7.30
479,Sugar Maple,,,5.69,5.90
510,Beech,,,1.50,1.50
516 (was 679),Sugar Maple,3.00,3.00,3.06,3.20
596,Red Maple,,,1.44,1.52
601,red oak,21.94,21.69,23.75,23.80
602,sugar maple,0.28,1.48,2.44,2.50
603,sugar maple,6.53,6.84,10.63,10.67
604,sugar maple,5.69,5.94,6.88,7.00
605,Red Oak,48.50,48.54,48.60,50.30
606,Sugar maple,2.25,1.05,3.18,3.30
607,Sugar maple,0.63,0.84,1.81,1.80
608,Sugar maple,2.25,2.45,3.45,3.47
609,Sugar maple,1.19,1.23,2.14,2.20
610,Sugar maple,4.00,3.23,4.00,4.10
611,sugar maple,2.50,1.48,2.33,2.50
612,sugar maple,5.63,4.72,5.90,6.00
613,mockernut hickory,10.00,8.82,10.00,10.00
614,sugar maple,4.38,4.50,4.55,5.05
615,mockernut hickory,10.00,17.40,17.65,17.75
616,sugar maple,5.63,1.80,1.75,1.80
617,sugar maple,3.88,3.95,3.95,4.00
618,norway maple,1.88,2.00,2.00,2.10
619,sugar maple,6.50,6.70,6.48,6.70
620,sugar maple,2.38,2.40,2.38,2.40
621,mockernut hickory,6.75,6.60,6.48,6.50
622,Red Oak,17.00,16.70,16.52,16.90
623,Sugar Maple,5.13,5.22,5.30,5.30
624,Red Oak,46.53,43.70,51.19,51.40
625,Sugar Maple,5.52,1.50,5.63,5.70
626,Sugar Maple,1.43,1.50,1.50,1.50
627,Sugar Maple,12.87,13.00,13.19,13.40
628,Sugar Maple,4.50,4.45,4.63,4.60
629,Sugar Maple,6.09,6.01,,
630,Sugar Maple,7.30,7.50,7.56,7.60
631,Sugar Maple,4.82,4.90,4.63,4.75
632,Red Oak,29.28,29.50,29.13,29.90
633,Sugar Maple,8.81,9.00,9.88,9.90
634,Sugar Maple,5.30,5.17,5.13,5.10
635,White Ash,14.59,14.34,,
636,Beech,1.50,1.87,1.88,1.90
637,Sugar Maple,2.06,2.00,1.95,2.00
638,Sugar Maple,5.13,5.06,5.05,5.30
639,Red Oak,206.08,60.94,61.00,52.00
640,The American Hophorn Beam,5.13,4.89,5.00,5.10
642,Sugar Maple,7.80,7.73,7.75,7.80
643,Sugar Maple,29.70,29.50,29.88,30.00
644,Sugar Maple,7.50,7.50,7.44,7.70
645,White Ash,10.10,9.13,10.94,10.00
646,Sugar Maple,0.38,0.52,1.44,1.60
647,Sugar Maple,8.81,9.04,10.25,10.30
648,Sugar Maple,7.70,7.60,7.70,8.00
649,Sugar Maple,7.30,7.22,7.19,7.20
650,White Ash,13.78,14.45,,15.40
651,Sugar Maple,10.77,11.95,12.13,12.30
652,Sugar Maple,4.06,5.21,5.16,5.20
653,Sugar Maple,4.50,3.71,3.50,3.80
655,Sugar Maple,2.35,2.30,2.28,2.40
656,Red Oak,22.99,23.40,23.30,23.70
657,Mockernut Hickory,20.50,20.80,21.32,21.50
658,Sugar Maple,5.00,5.06,5.20,5.20
659,mockernut hickory,16.13,16.06,16.42,16.50
660,sugar maple,3.25,3.26,3.32,3.35
661,sugar maple,5.75,5.76,5.88,5.90
662,sugar maple,5.00,2.70,2.41,2.75
663,Sugar Maple,4.13,4.10,4.10,4.25
664,Sugar Maple,2.00,1.90,1.56,1.80
665,Sugar Maple,2.25,2.20,2.11,
666,Red Oak,19.46,20.00,19.49,20.20
667,Pignut Hickory,7.53,7.65,7.36,7.50
668,Hop Hornbeam,3.72,3.90,3.60,3.90
670,sugar maple,3.25,3.20,3.22,3.25
671,sugar maple,1.75,1.70,2.69,2.70
672,sugar maple,2.38,2.36,2.38,2.40
673,sugar maple,1.50,2.50,2.44,2.50
674,sugar maple,3.75,4.00,3.88,3.90
675,Sugar Maple,2.85,2.90,2.88,2.90
676,Red Oak,30.46,30.60,30.88,31.00
677,Black Birch,17.07,16.86,,
678,Sugar Maple,6.03,6.20,6.25,6.30
680,Mockernut,10.61,10.70,10.69,10.70
681,Pignut Hickory,7.23,7.20,7.30,7.35
682,Pignut Hickory,9.42,9.26,9.41,9.45
684,Sugar Maple,6.00,5.96,6.13,6.20
685,Black Oak (says Osully),19.25,20.55,21.10,21.70
686,Sugar Maple,,,3.34,3.50
687,Sugar Maple,6.10,6.13,6.08,6.20
688,Sugar Maple,5.50,5.53,6.75,6.80
689,Sugar Maple,7.50,7.47,7.44,7.60
690,Red Oak ,30.20,26.00,29.14,29.40
691,Sugar Maple,6.00,6.10,6.00,6.30
692,Sugar Maple,16.10,16.22,16.19,16.30
693,Sugar Maple,7.90,7.83,7.66,7.85
694,Sugar Maple,8.60,8.64,8.55,8.56
695,Red Oak,25.20,24.44,24.70,25.06
696,Sugar Maple,4.80,4.51,4.63,4.70
697,Sugar Maple,5.40,5.27,5.36,5.40
698,Sugar Maple,6.30,5.91,5.96,6.03
699,Basswood,17.60,17.19,17.33,17.40
700,Basswood,14.60,14.55,13.69,13.80
701,Sugar Maple,13.00,13.30,13.16,13.20
702,Sugar Maple,12.31,12.10,12.19,12.20
703,Sugar Maple,16.17,10.30,4.19,4.20
704,Mockernut Hickory,18.17,18.03,18.94,19.00
705,Mockernut Hickory,13.14,13.40,13.06,13.20
706,Sugar Maple,6.78,6.80,7.69,7.70
707,Sugar Maple,3.50,3.74,3.44,3.55
708,Sassafras,16.51,16.56,17.10,17.10
709,sugar maple,12.60,12.76,12.44,12.90
710,Sugar Maple,3.00,2.62,2.55,2.70
711,Sugar Maple,18.23,15.60,15.80,15.90
712,Beech ,1.60,1.56,1.60,1.85
713,Red Oak,24.43,25.97,26.19,26.35
714,Mocker Nut Hickory ,15.45,15.66,15.88,16.00
715,Sugar Maple,,,1.94,2.00
716,Sugar Maple,12.79,12.90,12.75,13.05
718,Sugar Maple,6.78,7.00,7.00,7.10
719,Sugar Maple,5.67,5.90,6.00,
720,Sugar Maple,5.47,5.50,5.75,5.80
721,Beech,1.90,1.97,1.95,2.04
722,Sugar Maple,15.90,16.80,17.25,17.30
724,Sugar Maple,9.00,8.86,8.81,8.90
725,Sugar Maple,13.49,13.44,13.94,14.00
726,Sugar Maple,10.13,9.83,9.90,9.90
727,Sugar Maple,18.75,17.34,18.60,18.60
728,Sugar Maple,15.14,14.25,14.50,14.50
729,Sugar Maple,5.91,5.83,5.75,5.80
730,Sugar Maple,7.73,7.55,7.63,7.70
799,Beech,,,,2.10
