Tree ID Number,Tree Species,DBH - 2015,DBH - 2016,DBH - 2017,DBH - 2018,DBH - 2021,DBH - 2022,DBH - 2023,DBH - 2024,DBH - 2025
1,Sugar Maple,10.30,10.2,10.30,10.50,10.67,10.70,10.69,10.85,10.80
2,Sugar Maple,7.50,7.6,7.73,8.25,7.88,6.52,7.90,8.00,8.00
5,Sugar Maple,12.80,13.5,13.35,13.50,13.77,13.90,13.94,13.82,14.80
7,sugar maple,7.20,7.3,7.25,7.25,7.31,7.40,7.37,7.30,7.40
8,sugar maple,9.80,9.8,10.85,10.00,9.88,9.90,9.97,9.94,10.90
10,sugar maple,13.50,13.7,13.85,14.00,14.24,14.50,14.25,14.31,14.40
11,Sugar maple,15.06,15.5,15.40,13.50,15.78,16.10,15.90,16.14,16.15
12,Sugar Maple ,9.80,10.5,10.03,10.00,10.27,10.30,10.30,10.04,10.36
13,Sugar Maple ,14.50,14.375,14.46,14.50,14.83,14.60,14.90,15.80,14.74
14,Sugar Maple ,15.06,15.5,15.30,15.50,15.94,16.00,16.25,16.30,16.50
15,Sugar Maple,6.50,6.5,6.60,6.21,7.00,6.88,6.69,7.03,7.05
17,Sugar Maple,20.60,21.25,21.20,21.12,22.06,22.40,21.70,22.67,22.87
18,Norway Maple,3.40,3.5625,3.80,3.15,3.94,4.40,3.70,4.45,4.20
19,sugar maple,16.20,15.8,15.80,15.80,15.95,18.00,15.20,15.91,15.80
20,Sugar Maple,28.00,27.5,27.20,27.80,27.50,28.00,28.20,28.00,28.23
21,Sugar Maple,9.20,9.3,9.24,9.41,9.25,9.40,9.30,9.44,9.25
22,Sugar Maple,3.80,3.9,4.00,9.10,3.87,3.80,6.13,3.73,
23,Sugar Maple,16.00,15.8,13.80,16.00,15.94,16.20,16.10,16.10,16.10
24,Sugar Maple,8.00,7.9,7.94,7.75,7.88,7.90,7.95,7.80,7.80
26,sugar maple,13.40,13.3125,13.30,13.42,13.70,13.80,13.19,13.76,13.75
27,sugar maple,6.40,6.7,6.50,6.49,6.55,6.60,5.98,6.60,6.60
28,Sugar Maple,15.70,16,16.15,16.02,16.25,16.70,16.06,16.51,16.70
29,sugar maple,8.00,8.5,8.35,8.28,8.40,8.30,7.68,8.45,8.33
31,Sugar Maple,11.20,11.4,11.38,11.51,11.55,11.60,11.73,11.64,11.68
32,Sugar Maple,15.90,16.2,16.15,16.31,16.84,17.00,16.94,16.98,17.25
33,Sugar Maple,14.20,14.6,14.80,14.96,15.16,15.80,15.61,15.62,15.65
34,Sugar Maple,2.00,2.2,2.20,2.06,2.09,2.10,2.24,2.15,2.00
35,Sugar Maple,7.50,7.5,7.70,7.72,7.70,6.40,7.60,7.59,7.50
38,Sugar Maple,12.20,12.9,12.53,12.46,13.56,13.00,14.13,13.55,14.00
39,Sugar Maple,2.00,2.2,2.10,2.10,1.02,1.00,2.31,2.33,2.50
40,Sugar Maple,15.40,15.9,16.00,16.45,16.00,15.60,16.94,16.96,17.00
41,Sugar Maple,1.90,2,2.30,2.17,2.25,1.16,2.38,1.40,2.50
44,Sugar Maple,17.20,17.4,17.30,17.58,17.75,17.00,18.06,17.10,18.50
45,Norway Maple,2.10,2.2,2.17,2.20,2.31,2.40,2.35,2.60,2.80
47,Sugar Maple,12.20,12.5,12.50,12.49,13.00,13.10,12.76,13.30,13.70
48,Sugar Maple,8.20,18.7,19.30,19.00,8.19,8.60,8.50,8.60,8.60
49,Sugar Maple,12.40,23.5,24.15,23.90,12.81,24.13,24.10,13.20,24.60
50,Sugar Maple,11.60,11.6,11.50,11.70,11.69,14.10,14.10,11.81,11.70
52,Sugar Maple,15.80,16.1,16.63,16.20,17.10,17.50,16.89,17.67,18.00
53,Sugar Maple,9.10,9,9.30,8.98,9.00,9.20,8.58,9.32,12.10
54,Sugar Maple,11.60,11.3,11.80,11.49,11.50,10.50,11.85,11.52,11.50
55,Sugar Maple,19.70,19.6,19.80,20.15,21.40,20.40,20.90,20.66,21.40
56,Norway Maple,2.10,2.2,2.20,2.29,1.70,2.50,2.63,2.65,3.00
57,Sugar Maple,3.00,3,3.00,3.02,3.06,2.20,3.00,3.05,3.00
58,Sugar Maple,17.10,17.3,17.55,17.50,17.90,18.10,18.13,18.16,18.20
62,Sugar Maple,5.10,5.6,5.31,5.25,5.38,4.79,5.25,5.45,5.50
63,Sugar Maple,13.20,13.9,13.56,13.91,14.31,13.00,14.52,14.64,15.00
65,Sugar Maple,4.00,4.2,4.20,4.23,3.04,2.40,4.50,4.50,4.50
66,Sugar Maple,2.30,2.51,2.56,2.13,2.63,2.00,2.88,2.40,3.00
67,Norway Maple,2.10,2.2,2.13,2.20,1.70,1.53,2.36,,
68,Norway Maple,4.40,4.5,4.45,4.45,4.50,4.11,4.72,4.75,5.00
69,Sugar Maple,2.90,3.1875,3.10,3.17,3.38,3.25,3.31,3.30,3.50
71,Sugar Maple,3.50,3.5,3.56,2.67,3.73,3.70,3.75,2.10,3.90
72,Sugar Maple,8.60,8.7,8.60,8.62,8.75,7.40,8.84,8.60,8.70
73,Sugar Maple,21.20,21.2,21.63,21.45,22.00,21.16,22.38,22.40,22.55
74,Sugar Maple,22.00,22,22.25,22.69,22.63,22.16,23.16,23.80,23.20
75,Sugar Maple,23.00,23,23.13,23.00,23.38,22.24,23.83,24.00,23.90
76,Norway Maple,1.70,1.9,1.85,1.87,2.13,2.10,2.08,2.10,2.10
77,Norway Maple,2.20,2.3,2.50,2.50,2.69,2.80,2.70,3.00,3.10
78,Norway Maple,2.40,2.5,2.68,2.65,2.88,3.00,2.94,3.10,3.10
79,Norway Maple,2.50,2.5,2.70,2.73,2.94,3.00,3.40,3.20,3.35
80,Sugar Maple,17.10,17.4,17.35,17.25,17.50,18.00,18.00,18.00,18.00
81,Sugar Maple,11.50,11.4,11.60,11.81,12.20,12.70,12.50,12.80,13.00
82,Sugar Maple,16.90,16.6,16.60,16.61,17.00,16.70,16.80,16.75,17.00
83,Sugar Maple,2.80,2.8,2.85,2.30,2.90,2.80,2.86,,
85,Sugar Maple,12.10,12,12.10,12.20,12.30,12.40,12.41,12.44,12.50
86,Norway Maple,1.80,1.8,1.95,1.95,2.30,2.40,2.14,2.17,2.20
87,Red Maple,31.60,30.5,29.30,30.48,31.40,31.50,33.13,31.58,31.00
88,Norway Maple,2.10,2.3,2.45,2.35,2.60,2.50,2.50,2.69,3.00
89,Sugar Maple ,6.30,6.4,6.45,6.29,6.70,6.30,6.30,6.45,6.50
91,Sugar Maple,17.00,17,17.20,16.95,17.75,18.40,18.31,17.76,18.00
92,Sugar Maple,19.10,15.3,15.50,15.61,16.90,16.23,17.47,16.74,17.00
93,Norway Maple,2.50,2.7,2.94,2.98,3.06,3.13,3.10,3.24,3.00
94,Norway Maple,3.10,3.25,3.40,3.86,3.88,3.20,4.08,4.16,4.50
