Species,Plot,DBH_center_cm,delta_mean_cm_per_year,fallback_level,n_samples
autumn olive,Middle,5.0,0.1602289687137891,global,2620
autumn olive,Middle,15.0,0.05464504101416846,global,2620
autumn olive,Middle,25.0,0.09469641025641022,global,2620
autumn olive,Middle,35.0,0.29225905587668594,global,2620
autumn olive,Middle,45.0,0.17019753451676506,global,2620
autumn olive,Middle,55.0,0.37616534090909054,global,2620
autumn olive,Middle,65.0,0.26458333333333445,global,2620
autumn olive,Middle,75.0,0.0730807017543848,global,2620
autumn olive,Middle,85.0,0.0,global,2620
autumn olive,Middle,95.0,0.0,global,2620
autumn olive,Middle,115.0,5.918199999999992,global,2620
autumn olive,Middle,125.0,1.28375833333333,global,2620
autumn olive,Middle,135.0,0.0,global,2620
autumn olive,Middle,145.0,0.0,global,2620
autumn olive,Middle,155.0,0.0,global,2620
basswood,Middle,5.0,0.1602289687137891,global,2620
basswood,Middle,15.0,0.05464504101416846,global,2620
basswood,Middle,25.0,0.09469641025641022,global,2620
basswood,Middle,35.0,0.29225905587668594,global,2620
basswood,Middle,45.0,0.17019753451676506,global,2620
basswood,Middle,55.0,0.37616534090909054,global,2620
basswood,Middle,65.0,0.26458333333333445,global,2620
basswood,Middle,75.0,0.0730807017543848,global,2620
basswood,Middle,85.0,0.0,global,2620
basswood,Middle,95.0,0.0,global,2620
basswood,Middle,115.0,5.918199999999992,global,2620
basswood,Middle,125.0,1.28375833333333,global,2620
basswood,Middle,135.0,0.0,global,2620
basswood,Middle,145.0,0.0,global,2620
basswood,Middle,155.0,0.0,global,2620
beech,Middle,5.0,0.1602289687137891,global,2620
beech,Middle,15.0,0.05464504101416846,global,2620
beech,Middle,25.0,0.09469641025641022,global,2620
beech,Middle,35.0,0.29225905587668594,global,2620
beech,Middle,45.0,0.17019753451676506,global,2620
beech,Middle,55.0,0.37616534090909054,global,2620
beech,Middle,65.0,0.26458333333333445,global,2620
beech,Middle,75.0,0.0730807017543848,global,2620
beech,Middle,85.0,0.0,global,2620
beech,Middle,95.0,0.0,global,2620
beech,Middle,115.0,5.918199999999992,global,2620
beech,Middle,125.0,1.28375833333333,global,2620
beech,Middle,135.0,0.0,global,2620
beech,Middle,145.0,0.0,global,2620
beech,Middle,155.0,0.0,global,2620
black birch,Middle,5.0,0.13359789789789783,species_plot,382
black birch,Middle,15.0,0.0,species_plot,382
black birch,Middle,25.0,0.0,species_plot,382
black birch,Middle,35.0,0.0,species_plot,382
black birch,Middle,45.0,0.0,species_plot,382
black birch,Middle,55.0,0.0,species_plot,382
black oak,Middle,5.0,0.1602289687137891,global,2620
black oak,Middle,15.0,0.05464504101416846,global,2620
black oak,Middle,25.0,0.09469641025641022,global,2620
black oak,Middle,35.0,0.29225905587668594,global,2620
black oak,Middle,45.0,0.17019753451676506,global,2620
black oak,Middle,55.0,0.37616534090909054,global,2620
black oak,Middle,65.0,0.26458333333333445,global,2620
black oak,Middle,75.0,0.0730807017543848,global,2620
black oak,Middle,85.0,0.0,global,2620
black oak,Middle,95.0,0.0,global,2620
black oak,Middle,115.0,5.918199999999992,global,2620
black oak,Middle,125.0,1.28375833333333,global,2620
black oak,Middle,135.0,0.0,global,2620
black oak,Middle,145.0,0.0,global,2620
black oak,Middle,155.0,0.0,global,2620
buckthorn,Middle,5.0,0.1602289687137891,global,2620
buckthorn,Middle,15.0,0.05464504101416846,global,2620
buckthorn,Middle,25.0,0.09469641025641022,global,2620
buckthorn,Middle,35.0,0.29225905587668594,global,2620
buckthorn,Middle,45.0,0.17019753451676506,global,2620
buckthorn,Middle,55.0,0.37616534090909054,global,2620
buckthorn,Middle,65.0,0.26458333333333445,global,2620
buckthorn,Middle,75.0,0.0730807017543848,global,2620
buckthorn,Middle,85.0,0.0,global,2620
buckthorn,Middle,95.0,0.0,global,2620
buckthorn,Middle,115.0,5.918199999999992,global,2620
buckthorn,Middle,125.0,1.28375833333333,global,2620
buckthorn,Middle,135.0,0.0,global,2620
buckthorn,Middle,145.0,0.0,global,2620
buckthorn,Middle,155.0,0.0,global,2620
burning bush,Middle,5.0,0.1602289687137891,global,2620
burning bush,Middle,15.0,0.05464504101416846,global,2620
burning bush,Middle,25.0,0.09469641025641022,global,2620
burning bush,Middle,35.0,0.29225905587668594,global,2620
burning bush,Middle,45.0,0.17019753451676506,global,2620
burning bush,Middle,55.0,0.37616534090909054,global,2620
burning bush,Middle,65.0,0.26458333333333445,global,2620
burning bush,Middle,75.0,0.0730807017543848,global,2620
burning bush,Middle,85.0,0.0,global,2620
burning bush,Middle,95.0,0.0,global,2620
burning bush,Middle,115.0,5.918199999999992,global,2620
burning bush,Middle,125.0,1.28375833333333,global,2620
burning bush,Middle,135.0,0.0,global,2620
burning bush,Middle,145.0,0.0,global,2620
burning bush,Middle,155.0,0.0,global,2620
dogwood,Middle,5.0,0.1602289687137891,global,2620
dogwood,Middle,15.0,0.05464504101416846,global,2620
dogwood,Middle,25.0,0.09469641025641022,global,2620
dogwood,Middle,35.0,0.29225905587668594,global,2620
dogwood,Middle,45.0,0.17019753451676506,global,2620
dogwood,Middle,55.0,0.37616534090909054,global,2620
dogwood,Middle,65.0,0.26458333333333445,global,2620
dogwood,Middle,75.0,0.0730807017543848,global,2620
dogwood,Middle,85.0,0.0,global,2620
dogwood,Middle,95.0,0.0,global,2620
dogwood,Middle,115.0,5.918199999999992,global,2620
dogwood,Middle,125.0,1.28375833333333,global,2620
dogwood,Middle,135.0,0.0,global,2620
dogwood,Middle,145.0,0.0,global,2620
dogwood,Middle,155.0,0.0,global,2620
hophornbeam,Middle,5.0,0.1602289687137891,global,2620
hophornbeam,Middle,15.0,0.05464504101416846,global,2620
hophornbeam,Middle,25.0,0.09469641025641022,global,2620
hophornbeam,Middle,35.0,0.29225905587668594,global,2620
hophornbeam,Middle,45.0,0.17019753451676506,global,2620
hophornbeam,Middle,55.0,0.37616534090909054,global,2620
hophornbeam,Middle,65.0,0.26458333333333445,global,2620
hophornbeam,Middle,75.0,0.0730807017543848,global,2620
hophornbeam,Middle,85.0,0.0,global,2620
hophornbeam,Middle,95.0,0.0,global,2620
hophornbeam,Middle,115.0,5.918199999999992,global,2620
hophornbeam,Middle,125.0,1.28375833333333,global,2620
hophornbeam,Middle,135.0,0.0,global,2620
hophornbeam,Middle,145.0,0.0,global,2620
hophornbeam,Middle,155.0,0.0,global,2620
mockernut,Middle,5.0,0.1602289687137891,global,2620
mockernut,Middle,15.0,0.05464504101416846,global,2620
