TreeID,Plot,Species,DBH_cm,carbon_at_time,years_ahead
1,Upper,sugar maple,27.432,152.42403326727532,0
10,Upper,sugar maple,36.576,295.401396053482,0
100,Upper,sugar maple,22.86,100.21588898634975,0
104,Lower,sugar maple,17.272,52.59558752896721,0
105,Lower,sugar maple,3.81,1.62625523446548,0
106,Lower,beech,3.81,1.62625523446548,0
108,Lower,black birch,8.255,9.627433818896398,0
109,Lower,black birch,6.8326,6.231736128169562,0
11,Upper,sugar maple,41.020999999999994,384.57019542697657,0
110,Lower,red oak,65.0494,1110.505828003705,0
112,Lower,sugar maple,7.7724,8.381815414795094,0
113,Lower,sugar maple,9.398,12.973070463439557,0
115,Lower,black birch,6.8580000000000005,6.285147427752522,0
116,Lower,white pine,41.91,284.2720495869803,0
117,Lower,red oak,75.18400000000001,1549.3507512218632,0
118,Lower,black birch,3.9116,1.7277323679063363,0
119,Lower,pignut hickory,5.3340000000000005,3.5260071571740457,0
12,Upper,sugar maple,26.3144,138.51801171232592,0
120,Lower,mockernut hickory,10.414,16.427886061758493,0
121,Lower,musclewood,4.3434,2.198213473809366,0
122,Lower,white pine,31.496,139.1805387073858,0
123,Lower,black birch,6.9088,6.392743670437877,0
125,Lower,musclewood,3.81,1.62625523446548,0
126,Lower,sugar maple,17.5514,54.573061824097074,0
127,Lower,black birch,14.478000000000002,35.05023867647802,0
128,Lower,black birch,24.460200000000004,117.08985602934408,0
129,Lower,musclewood,21.8694,90.50781072500678,0
13,Upper,sugar maple,37.4396,311.69011106967264,0
130,Lower,musclewood,23.571199999999997,107.5323549497134,0
131,Lower,musclewood,17.526,54.39158571878679,0
132,Lower,black birch,10.668,17.364096051876054,0
133,Lower,black birch,11.8872,22.271233624983303,0
135,Lower,white pine,11.938,12.31030873935906,0
138,Lower,shagbark hickory,43.561,441.5565156997868,0
14,Upper,sugar maple,41.91,404.0097846139095,0
140,Lower,black birch,8.9916,11.71888558893186,0
141,Lower,musclewood,5.7912,4.260189912756195,0
143,Lower,black birch,5.6896,4.090244353565643,0
144,Lower,yellow birch,11.557,20.87396850827397,0
145,Lower,red oak,60.35040000000001,934.5996523242784,0
146,Lower,dogwood,2.9463999999999997,0.9003931593682505,0
148,Lower,black birch,8.229600000000001,9.55943743359867,0
149,Lower,black birch,30.3276,191.9944891443043,0
15,Upper,sugar maple,17.907,57.14967706792137,0
150,Lower,black birch,9.0424,11.87172442660931,0
151,Lower,red oak,50.8,628.851066282241,0
153,Lower,black birch,5.460999999999999,3.722093421977239,0
154,Lower,black birch,5.08,3.1517212627355704,0
157,Lower,black birch,6.502400000000001,5.560716214113794,0
160,Lower,red maple,5.8166,4.303288084606035,0
161,Lower,black birch,8.89,11.416561318986751,0
163,Lower,musclewood,7.5692,7.886353116635208,0
164,Lower,black birch,10.795,17.84322495219531,0
165,Lower,black birch,9.8552,14.470774652530537,0
166,Lower,black birch,10.16,15.520896100149129,0
167,Upper,sugar maple,7.239000000000001,7.117410089456821,0
168,Upper,sugar maple,6.6293999999999995,5.8136914467490275,0
17,Upper,sugar maple,58.0898,856.0339524258058,0
171,Upper,sugar maple,15.6972,42.21359161216645,0
172,Upper,sugar maple,53.848,719.0370877404226,0
173,Upper,sugar maple,31.75,213.33977932886583,0
174,Upper,sugar maple,23.368,105.4121847485703,0
175,Upper,sugar maple,12.7508,26.169616662043925,0
178,Upper,sugar maple,38.608,334.51767056839014,0
18,Upper,norway maple,10.668,17.364096051876054,0
180,Upper,red maple,12.9032,26.894616126555583,0
181,Upper,sugar maple,45.796200000000006,495.4148074617369,0
182,Upper,sugar maple,15.621,41.74376125473302,0
183,Upper,sugar maple,28.447999999999997,165.72203734228694,0
184,Upper,sugar maple,10.668,17.364096051876054,0
186,Upper,sugar maple,35.433,274.59934002860507,0
187,Upper,sugar maple,17.7038,55.669100140991056,0
188,Upper,sugar maple,50.673,625.2410470086689,0
189,Upper,sugar maple,28.3464,164.36390818231624,0
19,Upper,sugar maple,40.132000000000005,365.6706566210666,0
191,Upper,sugar maple,9.398,12.973070463439557,0
192,Upper,sugar maple,28.956000000000003,172.6076221318073,0
193,Upper,sugar maple,27.686,155.68965521916903,0
194,Upper,sugar maple,25.958800000000004,134.25048766656246,0
196,Upper,sugar maple,17.78,56.22174274992082,0
197,Upper,sugar maple,10.414,16.427886061758493,0
198,Upper,norway maple,50.165,610.918309782408,0
199,Upper,sugar maple,5.842,4.346631614612262,0
2,Upper,sugar maple,20.32,76.43385809522198,0
20,Upper,sugar maple,71.7042,1389.3569290950852,0
